Question,Answer
1.1 What is the Vicharanashala internship?,"A two-month, full-time engagement at the Vicharanashala Lab, a research lab at IIT Ropar. You will work on a real open-source project under a mentor, after a short training phase tailored to where you already are. The internship is free - we do not charge, and the work is real. "
1.2 What is VINS?,"is the Vicharanashala Internship - an online programme open to anyone who clears our interview. The work is real open-source contribution under a mentor, the certificate is from the Vicharanashala Lab for Education Design at IIT Ropar, and the programme itself is free (we charge nothing). There is no stipend. VINS If you are seeing a yellow VINS panel on your result page, you are selected. "
"1.3 What are the phases of VINS, and what do the badges mean?","VINS is structured as four phases. Each one is marked by a badge - a small token of where you are in the journey. around what you already know. If you arrive already comfortable with the basics, your mentor may skip Bronze and put you straight on to the project. 🥉 - a short training period at the start, planned Bronze (Phase 1) 🥈 - the main work. You contribute to a real Silver (Phase 2) open-source project under a Vicharanashala mentor. Finishing Bronze and Silver completes your internship and earns the certificate. 🥇 - a recognition awarded during Silver if your "
1.4 Who is the internship for? Are alumni eligible?,"The internship is for at any college or university - undergraduate, postgraduate, or doctoral. The NOC requirement is the practical reflection of this: we ask for institutional consent that you can commit your time to this internship. currently-enrolled students for this cycle. If you re-enrol later (higher studies, etc.), you are very welcome to apply again in a future cycle. Candidates who have already graduated and are not currently enrolled in any programme are not eligible"
1.5 Is this the same as IIT Ropar's official Summer Research Internship?,"No. Summership 2026 is a VLED Lab initiative. The certificate is issued by the , not centrally by the institute. IIT Ropar runs a separate institutional summer research internship through its own office. Do not represent Summership 2026 as equivalent to that programme. Vicharanashala Lab for Education Design "
1.6 I have to attend my class tomorrow/today/some day can I take leave,"Leave is not permitted. If you are also attending classes or exams, you will be relieved from the internship immediately and will need to join the next batch when it starts. "
2.1 When can I start?,"You can start any time in 2026 - VINS is flexible on the start date - , and one strong recommendation. but there are two things you must hold in mind together Your internship must That date is non-negotiable. Whatever start you pick, your end date (your start + 2 months, with up to 1 month grace) must land on or before 31 December 2026. So while there is no last date to , there is absolutely a last date to . The batch goes through Bronze together - Cohort networking. TAs are full-time TA support is concentrated in May–July. The earlier you join, the more of the May–July main cohort you catch - and three things make starting earlier materially better than starting later: , not piecemeal - you get The hard rule."
2.2 How long is the internship?,", with an optional if you need it. End must land on or before 31 December 2026. Two months from your chosen start date one-month grace period"
"2.3 Can I start in July, August or later if I have exams now?","Yes - but only if your exams genuinely make an earlier start impossible. Wait until your exams are done, then opt in and start. Do not attempt to juggle this internship with ongoing exams. Make sure your chosen start date plus 2 months (or 3 with grace) lands on or before 31 December 2026. "
2.4 Can I start with the cohort and take a relaxation during my exam window?,"No. This is not an arrangement we offer. A note on consequences. VINS is a full-attention internship - six to ten hours a day, sometimes more. Splitting that with college exams damages both sides: the project loses momentum, the exams suffer, and the mentor invests in someone who can only half-engage. We have seen this fail enough times to be firm. If your exams fall inside the cohort duration, defer your start to after your exams end, opt in then, and run the internship at full attention. The certificate and project pathway are the same. we reserve the right to terminate the internship or withhold the certificate at any time"
2.5 Can I take leave or get an exemption during the internship for an exam scheduled in June?,"The attendance rule is firm - the 55-day continuous window is a non-negotiable part of the internship, and we cannot offer an exemption for an exam during this period. The policy exists because split attention genuinely damages both your exam preparation and your internship work. "
"2.6 Are orientation session recordings shared with interns, and can project or group assignments be changed after watching them?","Recordings of the sessions will not be provided. However, we may provide access to an abridged version of a talk or session if we consider it important. We do not guarantee this for every session. "
3.1 What dates do I put on the NOC?,"(with up to 1 month grace), ensuring the end date is on or before 31 December 2026. Pick the earliest start date you can realistically make - the May–July summer window is the main cohort. date the signature date. Default: If the NOC will be signed on a specific later date, pick a start your chosen start date → your start + 2 months "
3.2 Who can sign the NOC?,"Any authorised signatory at your college: HOD, Acting HOD (during holidays), Principal, Dean, Director, or Training & Placement Officer. For dual-degree students, either institution can sign - pick whichever is easier. For IITM BS Online Degree (standalone) students, any officer from the BS office can sign. "
3.3 When do I submit the NOC? Is the deadline hard?,"There is no specific calendar cut-off date by which the NOC must be uploaded - but So submit your signed NOC as early as possible and join the current summer cohort. your internship cannot formally begin until your official institutional NOC has been uploaded and validated by us. If you are on VINS you technically upload your NOC and start later in the year, but - by then your mentor may already be busy with other work, you will not get to network properly with the rest of the cohort, and the cohort + TA support that make this internship genuinely good are concentrated during the summer window. Submit early, start as soon as possible, and you will get the full version of the experience. we strongly do not recommend it"
3.4 What format should I use? Do I need to design it myself?,"No - . Once your result is out and you log in to samagama.in, you will see a button on your dashboard. Take a printout, get it physically signed and stamped by your authorised signatory, scan it, and upload the signed PDF using the button (also on the dashboard). You do not need to draft anything yourself, and you do need college letterhead - the format we provide is the canonical layout. we provide a printable NOC format Download blank NOC"
3.5 What if my college / Program Chair gives me an NOC in their own format?,"A college's own NOC format is acceptable, as long as all of the required entries are present on it: handwritten signature - this is the most important item, the signing authority's (HOD / Dean / Program Chair / Principal) full name the signing authority's **name, designation, official email address, internship period and phone number** (we cross-check with that person to verify the signature is genuine), your and the (start and end dates), "
3.6 Does it need to be signed by hand?,"Yes. Three things are required, all on the NOC format we provide: automatically cross-check with that person to verify the signature is genuine. the authorised signatory's , handwritten signature the applied in the designated area, and institutional rubber stamp / seal Digital signatures are not accepted on the PDF path. If a physically- signed printout is impractical for your HOD, use the email-forward path in 5.7 below - it is fully equivalent. the signatory's filled in the designated field - we "
3.7 Can my HOD email the NOC instead of uploading it?," No. Your NOC must be uploaded by you, the student, from your dashboard - we no longer accept NOCs sent by email. We previously offered an email-forward path where your HOD emailed the NOC to us. NOCs emailed to us - whether by you or by your HOD - will not be processed. The only accepted way to submit your NOC is to download the format, get it signed by the appropriate authority at your institution, and from your dashboard (see 3.8). If your college gives you a signed NOC in their own format, that is fine (see 3.5) - you still upload it yourself as a PDF. That option has been retired."
3.8 How do I download and upload the NOC?,Both happen on your at samagama.in once your result is out. You will see a NOC section with two buttons in three places (all backed by the same endpoints - use whichever is convenient): dashboard the Talk-to-Yaksha button. - saves the printable NOC format PDF. Download blank NOC - opens a file picker; the file must be a Upload signed NOC (PDF) The two buttons: 
3.9 What if my NOC is not formally verified?,NOC verification takes time - typically anywhere between an hour and one full working day from the moment you upload. Your offer letter is issued automatically once your signed institutional NOC is uploaded and validated - there is no faster route. (The earlier self-declaration / provisional-offer option was retired on 2026-05-27 and is no longer accepted.) Please upload your signed NOC as early as you can so your start is not delayed. 
"3.10 My online course (Masai, NPTEL, Coursera, etc.) won't issue an NOC. What do I do?","The internship is open only to candidates currently enrolled in a at a recognised college or university. Online-only courses - Masai Institute, NPTEL / MOOC enrolments, Coursera, Udacity, bootcamps, and similar - do not by themselves make a candidate eligible. full-time degree programme If you are concurrently enrolled in a full-time degree programme alongside the online course, please obtain a from that college (department, Dean's office, or Principal) and upload it via the NOC upload flow on your dashboard. If your only current academic engagement is the online course and you are not concurrently enrolled in a full-time degree programme, the internship is not open to you in this cycle. We would warmly welcome you to apply again in a future cycle once you are enrolled in a full-time programme. No Due / No Objection certificate"
3.11 My HOD/college official wants written confirmation before signing my NOC. What do I show them?,"Your selection is already confirmed the moment your yellow VINS (or green VISE) result panel appears on your samagama.in dashboard - that is the official confirmation of your selection, and it is what your HOD should sign your NOC on the basis of. There is no separate written confirmation letter or other proof-of-selection document issued before the NOC step - and none can be sent on request. (The selection-confirmation letter and the self-declaration / provisional-offer route have both been discontinued.) Your offer letter is issued only your signed NOC is uploaded and validated, so it is not available beforehand. If your college will not sign without something in hand, show them your VINS result panel on the dashboard as evidence of selection - that is the confirmation we provide. after"
3.12 Can Prof. Sudarshan Iyengar or a faculty member from IIT Ropar sign my NOC for the internship?,"Your NOC must be signed by an authorised signatory at the institution where you are enrolled as a student - such as your HOD, Dean, Principal, or Training & Placement Officer. Sudarshan Iyengar is a faculty member at IIT Ropar and is not the authorised signatory for the IIT Ropar/Masai online AIML programme. He cannot sign your NOC in a personal capacity. Regarding eligibility: the internship is open to candidates currently enrolled in a UG/PG/Diploma programme at a recognised college or university. An online-only certification course (even if offered jointly with an IIT) does not meet that requirement on its own. If you are concurrently enrolled in a full-time degree programme elsewhere, please obtain the NOC from the authorised signatory at that institution. If your only current academic enrolment is the IIT Ropar/Masai online programme, you are not eligible for this internship cycle. Please clarify your current enrolment status and we will guide you accordingly. "
4.1 How do I know I am selected?,"If you can see your yellow VINS result panel on samagama.in, you are selected. There is no separate selection step or confirmation email. "
4.2 How do I opt into VINS?,Tell Yaksha in the chat: Yaksha will confirm. Opting in the selection - no separate confirmation email is sent at that stage. is 
